# db/anon-grants-baseline.tsv —— anon 够得着的东西,一行一个。
# 由 db/check_grants.py 断言:**线上必须是它的子集,而它只许缩小。**
# 删一行是普通提交;加一行是一次要写下理由的刻意行为(理由写在迁移里,
# 函数那一条还要写进 db/verify_rebuild.py 的 ANON_EXECUTE_ALLOWED)。
# 生成:python3 db/check_grants.py --write-baseline
#
# kind	identity
# ── function:1 ──
function	cod_verification(text)
# ── bucket:0 ──
# ── column:0 ──
# ── relation:326 ──
relation	accounts
relation	ap_open_items
relation	approval_log
relation	ar_open_items
relation	assay_result_metals
relation	assay_results
relation	attendance_lines
relation	attendance_period_status
relation	attendance_periods
relation	bank_import_profiles
relation	bank_line_matches
relation	bank_reconciliation_record
relation	bank_reconciliation_status
relation	bank_reconciliation_variance_items
relation	bank_reconciliations
relation	bank_statement_lines
relation	bank_statements
relation	bank_transfers
relation	bank_unmatched_journal_lines
relation	batch_assay_status
relation	batch_audit_trail
relation	batch_lineage
relation	batch_margin
relation	batch_processing_cost_allocations
relation	batch_required_assay_gaps
relation	battery_chemistries
relation	cash_forecast_lines
relation	cash_forecasts
relation	certificate_types
relation	certificates_of_destruction
relation	cn_issues
relation	cod_issues
relation	collection_chase_documents
relation	collection_chases
relation	collection_promises
relation	commission_agreements
relation	company_compliance
relation	company_profile
relation	container_documents
relation	container_milestones
relation	container_overview
relation	containers
relation	contract_coverage
relation	contract_document_terms
relation	contract_grade_breaches
relation	contract_grade_specs
relation	contract_insurance_obligations
relation	contract_penalty_elements
relation	contract_pricing_terms
relation	contract_refining_charges
relation	contract_settlement_terms
relation	contract_volume_commitments
relation	contracts
relation	counterparty_contacts
relation	credit_note_lines
relation	credit_notes
relation	currencies
relation	customer_attachments
relation	customer_billing_lookup
relation	customer_credit_history
relation	customer_credit_status
relation	customer_lookup
relation	customer_statements
relation	customers
relation	deep_discharge_judgements
relation	deleted_records
relation	departments
relation	employee_directory
relation	employee_lookup
relation	employees
relation	employees_masked
relation	employment_history
relation	employment_history_masked
relation	equipment_downtime
relation	equipment_maintenance
relation	equipment_maintenance_advice
relation	equipment_service_intervals
relation	equipment_service_status
relation	equipment_usage
relation	expense_claims
relation	expenses
relation	festival_doodles
relation	finance_attachments
relation	finance_settings
relation	finance_settings_lookup
relation	fixed_asset_cost_entries
relation	fixed_asset_depreciation
relation	fixed_asset_depreciation_anchors
relation	fixed_assets
relation	forwarder_details
relation	forwarder_rate_quotes
relation	freight_allocations
relation	freight_document_lookup
relation	freight_documents
relation	fx_month_end_readiness
relation	fx_rate_gaps
relation	fx_rate_history
relation	fx_rates
relation	grn_discrepancies
relation	gst_periods
relation	gst_return_boxes
relation	handover_item_types
relation	handover_people
relation	home_greetings
relation	hr_alerts
relation	hr_settings
relation	import_batches
relation	inbound_batch_lookup
relation	inbound_batch_metals
relation	inbound_batch_safety_states
relation	inbound_batch_valuation
relation	inbound_batches
relation	inbound_batches_masked
relation	inbound_chemistry_certainties
relation	inbound_safety_states
relation	inbound_source_reasons
relation	index_market_calendar
relation	inventory_movements
relation	invoice_document_totals
relation	invoice_issues
relation	invoice_lines
relation	invoice_lines_masked
relation	invoice_status
relation	invoices
relation	invoices_masked
relation	journal_entries
relation	journal_lines
relation	kpi_cycles
relation	kpi_employee_linkage_matrix
relation	kpi_employee_rollup
relation	kpi_entries
relation	kpi_organisation
relation	kpi_position_linkage_matrix
relation	kpi_position_templates
relation	kpi_score_rubric
relation	kpi_template_org_links
relation	laboratories
relation	lane_checklist_status
relation	lane_document_requirements
relation	lanes
relation	leave_accrual_rates
relation	leave_calendar
relation	leave_consumption
relation	leave_grants
relation	leave_requests
relation	leave_types
relation	loss_categories
relation	loss_metal_fates
relation	maintenance_settings
relation	management_packs
relation	material_attachments
relation	material_forms
relation	material_kinds
relation	material_lookup
relation	material_required_metals
relation	material_size_formats
relation	material_sources
relation	material_stock_available
relation	materials
relation	medical_claim_status
relation	medical_claims
relation	metal_price_indices
relation	metal_prices
relation	my_kpi_entries
relation	my_leave_balance
relation	my_profile
relation	my_review_subjects
relation	my_self_assessment
relation	my_self_assessment_goals
relation	notification_reads
relation	notifications
relation	operation_kinds
relation	operation_type_input_forms
relation	operation_type_output_forms
relation	operation_type_safety_states
relation	operation_types
relation	operations_now
relation	order_invoice_balance_all
relation	order_invoice_open_all
relation	output_batch_lookup
relation	output_batch_metal_lookup
relation	output_batch_metals
relation	output_batch_purposes
relation	output_batch_safety_states
relation	output_batch_states
relation	output_batch_valuation
relation	output_batches
relation	payment_allocations
relation	payment_event_owners
relation	payment_term_template_lines
relation	payment_term_template_lines_masked
relation	payment_term_templates
relation	payment_trigger_events
relation	payments
relation	payroll_lines
relation	payroll_lines_masked
relation	payroll_period_lookup
relation	payroll_periods
relation	performance_reviews
relation	performance_reviews_masked
relation	period_closes
relation	permissions
relation	po_issues
relation	po_prepayment_applicable
relation	po_receivable_lines
relation	po_receivable_lines_lookup
relation	ports
relation	positions
relation	prepayment_applications
relation	prepayment_applications_masked
relation	price_history
relation	price_history_masked
relation	pricing_formula_history
relation	pricing_formula_history_masked
relation	pricing_formula_metals
relation	pricing_formula_metals_masked
relation	pricing_formulas
relation	pricing_formulas_masked
relation	pricing_settings
relation	pricing_term_commitment_metals
relation	pricing_term_commitment_metals_masked
relation	pricing_term_commitments
relation	pricing_term_commitments_masked
relation	processing_cost_entries
relation	processing_cost_entries_masked
relation	processing_cost_entry_history
relation	processing_cost_entry_history_masked
relation	processing_cost_entry_lookup
relation	processing_cost_variance
relation	processing_inputs
relation	processing_metal_recovery
relation	processing_output_lookup
relation	processing_outputs
relation	processing_outputs_masked
relation	processing_run_allocation_status
relation	processing_run_lookup
relation	processing_run_loss_breakdown
relation	processing_run_losses
relation	processing_runs
relation	processing_runs_masked
relation	processing_settings
relation	processing_wip
relation	public_holidays
relation	purchase_order_history
relation	purchase_order_line_retentions
relation	purchase_order_line_retentions_masked
relation	purchase_order_lines
relation	purchase_order_lines_masked
relation	purchase_order_payment_terms
relation	purchase_order_payment_terms_masked
relation	purchase_order_retention_status
relation	purchase_order_status
relation	purchase_orders
relation	purchase_orders_masked
relation	qt_issues
relation	quote_history
relation	quote_lines
relation	quote_status
relation	quotes
relation	receiving_settings
relation	review_cycles
relation	review_goals
relation	review_rating_scale
relation	role_permissions
relation	roles
relation	sales_attribution_log
relation	sales_order_history
relation	sales_order_lines
relation	sales_order_reservations
relation	sales_orders
relation	sales_record_movements
relation	sales_records
relation	sales_records_masked
relation	sales_records_visible
relation	sales_settlements
relation	shift_handover_equipment_refs
relation	shift_handover_items
relation	shift_handovers
relation	shifts
relation	shipment_issues
relation	shipment_lines
relation	shipment_lookup
relation	shipments
relation	so_issues
relation	statement_issues
relation	stock_by_status
relation	stock_class_violations
relation	stock_class_violations_all
relation	stock_snapshot
relation	stocktake_lines
relation	stocktakes
relation	storage_location_allowed_classes
relation	storage_locations
relation	substances
relation	supplier_attachments
relation	supplier_compliance
relation	supplier_lookup
relation	supplier_receipt_pattern
relation	supplier_receiving_blocked
relation	suppliers
relation	task_assignable_employees
relation	task_board_rows
relation	task_history
relation	task_nodes
relation	task_participant_directory
relation	task_participants
relation	tasks
relation	tax_code_lookup
relation	tax_codes
relation	tax_rates
relation	traceability_report_issues
relation	training_records
relation	user_directory
relation	user_roles
relation	waste_classifications
relation	wht_liability_by_month
relation	wht_natures
relation	wht_rates
relation	wht_remittances
relation	work_order_expected_outputs
relation	work_order_fulfilment
relation	work_order_history
relation	work_order_lines
relation	work_order_lookup
relation	work_orders
relation	year_closes
